id,year,location,estab,formal,service,sector,group,ftstaff05,ftstaff06,ftstaff07,ptstaff05,ptstaff06,ptstaff07,totalstaff05,totalstaff06,totalstaff07,totalstaff08,totalstaff09,totalstaff10,turnover05,turnover06,turnover07,turnover08,turnover09,turnover10,sinfo1,sinfo2,sinfo3,sinfo4,sinfo5,sinfo6,sinfo7,sinfo8,sinfo9,sinfo10,policy_suggestion1,policy_suggestion2,policy_suggestion3,policy_suggestion4,policy_suggestion5,policy_suggestion6,policy_suggestion7,policy_suggestion8,market1,market2,market3,market4,market5,market6,market7,market8
1,2008,No,0.0,NOT SPECIFIED,manufacturing,chemicals and chemical products,No,110.0,80.0,70.0,0.0,0.0,0.0,110.0,80.0,70.0,0.0,0.0,0.0,2500000.0,2600000.0,2800000.0,0.0,0.0,0.0,High,Medium,High,Not used,High,Not used,Not used,Not used,Not used,High,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,No,Yes,No,No,No,No,No,No
2,2008,No,1961.0,NOT SPECIFIED,manufacturing,food and beverages,No,38.0,40.0,45.0,0.0,0.0,0.0,38.0,40.0,45.0,0.0,0.0,0.0,2500000.0,2300000.0,1800000.0,0.0,0.0,0.0,High,High,Medium,Not used,Not used,Not used,Not used,Low,Low,Low,Check battery that use bromate,Check battery that use bromate,Check battery that use bromate,Check battery that use bromate,Check battery that use bromate,Check battery that use bromate,Check battery that use bromate,Check battery that use bromate,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
3,2008,No,1985.0,Yes,manufacturing,"Publishing, reproduction of recorded media",No,59.0,68.0,67.0,0.0,0.0,0.0,59.0,68.0,67.0,0.0,0.0,0.0,38624741.0,4287400.0,46299252.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
4,2008,No,1992.0,Yes,manufacturing,food and beverages,No,153.0,153.0,112.0,0.0,0.0,0.0,153.0,153.0,112.0,0.0,0.0,0.0,164041000.0,45226098.0,42344176.0,0.0,0.0,0.0,Not used,Medium,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
5,2008,No,1987.0,Yes,manufacturing,non metallic mineral products,No,0.0,13.0,19.0,0.0,40.0,43.0,0.0,53.0,62.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,No,Yes,No,No,No,No,No,No
6,2008,No,0.0,NOT SPECIFIED,manufacturing,"machinery, equipment and vehicles",Yes,76.0,65.0,14.0,0.0,0.0,0.0,76.0,65.0,14.0,0.0,0.0,0.0,35000000.0,36000000.0,0.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,No,Yes,No,No,No,No,No,No
7,2008,No,1981.0,Yes,manufacturing,chemicals and chemical products,Yes,64.0,68.0,74.0,0.0,0.0,0.0,64.0,68.0,74.0,0.0,0.0,0.0,201372000.0,256126000.0,220005000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
8,2008,No,1996.0,Yes,manufacturing,rubber and plastics products,Yes,29.0,27.0,33.0,0.0,0.0,0.0,29.0,27.0,33.0,0.0,0.0,0.0,16813000.0,12939170.0,25725330.0,0.0,0.0,0.0,Medium,Medium,Not used,Not used,Not used,Not used,Low,Low,Low,Medium,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Provide reseach & develop centers addresing the proplem of infrastructure,Yes,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
9,2008,No,0.0,Yes,manufacturing,fabricated metal etc,No,0.0,0.0,12.0,0.0,0.0,25.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
10,2008,No,1960.0,Yes,manufacturing,chemicals and chemical products,No,120.0,105.0,110.0,0.0,0.0,0.0,120.0,105.0,110.0,0.0,0.0,0.0,1562370881.0,1693794944.0,1791868193.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
