,0,1,2,3,4
policysup1,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,962,196,99,61,41
policysup2,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,941,257,71,68,22
policysup3,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,950,233,81,71,24
policysup4,Unspecified,Highly important,Moderately important,Not important,Slightly important
Output,951,259,63,56,30
policysup5,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,938,230,80,75,36
policysup6,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,942,300,53,39,25
policysup7,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,950,246,74,71,18
policysup8,Unspecified,Highly important,Not important,Moderately important,Slightly important
Output,1236,65,39,10,9
